📡 ℵ-Предсказание φⁿ(Z) для Z = 119–150 (β = 1.25)

Z	φⁿ(Z)	Узел
119	0.00254429	
120	0.00251781	✓
121	0.00249183	✓
122	0.00246632	✓
123	0.00244129	✓
124	0.00241670	✓
125	0.00239256	✓
126	0.00236885	✓
127	0.00234555	✓
128	0.00232267	✓
129	0.00230019	✓
130	0.00227809	✓
131	0.00225637	✓
132	0.00223503	✓
133	0.00221404	✓
134	0.00219341	✓
135	0.00217312	✓
136	0.00215316	✓
137	0.00213353	✓
138	0.00211422	✓
139	0.00209523	✓
140	0.00207654	✓
141	0.00205815	✓
142	0.00204004	✓
143	0.00202223	✓
144	0.00200469	✓
145	0.00198742	✓
146	0.00197042	✓
147	0.00195368	✓
148	0.00193719	✓
149	0.00192095	✓
150	0.00190496	
